/*
sample: 1960.1 -- 1995.4, seasonally unadjusted data
West German data until 1990.2, all of Germany aferwards
m - log of real per capita M1 (source of original series: Monatsberichte der Deutschen Bundesbank,
                    quarterly values are values of last month of quarter) 
gnp - log of real per capita GNP (source of original series: Deutsches Institut für Wirtschaftsforschung,

                               Volkswirtschaftliche Gesamtrechnung)   

            (source of population data: Wirtschaft und Statistik)
gnp_d - 0 for 1960.1 - 1990.2, gnp for 1990.3 - 1995.4
p - log gdp deflator (source: Deutsches Institut für Wirtschaftsforschung,

                              Volkswirtschaftliche Gesamtrechnung)

R - nominal long term interest rate (Umlaufsrendite) 

                   (source: Monatsberichte der Deutschen Bundesbank,

                    quarterly values are values of last month of quarter)            
S1, S2, S3 - seasonal dummies
S1d, S2d, S3d - seasonal dummies for period starting 1990.3 and 0 before 
ec = m -1.13gnp - 0.04gnp_d + 4.57R error correction term */

<1960 Q1>
ec                    gnp             gnp_d                   m1                      p                  R                   s1              s1d             s2              s2d             s3              s3d             
-1.2743429903099983  9.174376487          0.0                  8.82764244           4.523775577          0.058                0.0                  0.0                  0.0                  0.0                  0.0                  0.0                  
-1.2215959259199987  9.103868484          0.0                  8.809855461          4.498519897          0.056                1.0                  0.0                  0.0                  0.0                  0.0                  0.0                  
-1.176472415839998   9.133583068          0.0                  8.870276451          4.499443054          0.06                 0.0                  0.0                  1.0                  0.0                  0.0                  0.0                  
-1.2087780319299988  9.155993461          0.0                  8.849584579          4.503956794          0.063                0.0                  0.0                  0.0                  0.0                  1.0                  0.0                  
-1.203139072349999   9.190898895          0.0                  8.899236679          4.542283535          0.062                0.0                  0.0                  0.0                  0.0                  0.0                  0.0                  
-1.146624067349999   9.136808395          0.0                  8.858069419          4.521147251          0.07                 1.0                  0.0                  0.0                  0.0                  0.0                  0.0                  
-1.157375321589999   9.165657043          0.0                  8.875347137          4.520614147          0.071                0.0                  0.0                  1.0                  0.0                  0.0                  0.0                  
-1.180771021549999   9.166810035          0.0                  8.853254318          4.530425071          0.071                0.0                  0.0                  0.0                  0.0                  1.0                  0.0                  
-1.1370863336399994  9.206169128          0.0                  8.909424781          4.567780017          0.078                0.0                  0.0                  0.0                  0.0                  0.0                  0.0                  
-1.1160375409999996  9.1692667            0.0                  8.83393383           4.551548004          0.09                 1.0                  0.0                  0.0                  0.0                  0.0                  0.0                  
-1.1126466959500003  9.188996315          0.0                  8.85961914           4.553518772          0.09                 0.0                  0.0                  1.0                  0.0                  0.0                  0.0                  
-1.4109046917299979  9.079103469          9.079103469          8.795776367          4.559440135          0.091                0.0                  0.0                  0.0                  0.0                  1.0                  1.0                  
-1.3301124194599996  9.110098838          9.110098838          8.917403221          4.586802482          0.09                 0.0                  0.0                  0.0                  0.0                  0.0                  0.0                  
-1.3946016223499988  9.077347755          9.077347755          8.832875251          4.57378292           0.086                1.0                  1.0                  0.0                  0.0                  0.0                  0.0                  
-1.4215679935099996  9.101797103          9.101797103          8.834514617          4.590462684          0.086                0.0                  0.0                  1.0                  1.0                  0.0                  0.0                  
-1.4302174045700007  9.111729621          9.111729621          8.828346252          4.604870319          0.088                0.0                  0.0                  0.0                  0.0                  1.0                  1.0                  
-1.3999023704000004  9.12876892           9.12876892           8.883167266          4.647942066          0.087                0.0                  0.0                  0.0                  0.0                  0.0                  0.0                  
-1.45462099056       9.096869468          9.096869468          8.813976287          4.634146213          0.082                1.0                  1.0                  0.0                  0.0                  0.0                  0.0                  
-1.4347083797599984  9.107293128          9.107293128          8.83694458           4.643621444          0.084                0.0                  0.0                  1.0                  1.0                  0.0                  0.0                  
-1.4564609997799989  9.118104934          9.118104934          8.836981773          4.660888671          0.082                0.0                  0.0                  0.0                  0.0                  1.0                  1.0                  
-1.419736021339999   9.137835502          9.137835502          8.933351516          4.692081451          0.074                0.0                  0.0                  0.0                  0.0                  0.0                  0.0                  
-1.44739395109       9.056394577          9.056394577          8.851537704          4.679627895          0.065                1.0                  1.0                  0.0                  0.0                  0.0                  0.0                  
-1.418430361969997   9.088569641          9.088569641          8.909006118          4.68638134           0.067                0.0                  0.0                  1.0                  1.0                  0.0                  0.0                  
-1.4866376477499992  9.106137275          9.106137275          8.888772964          4.693364143          0.061                0.0                  0.0                  0.0                  0.0                  1.0                  1.0                  
-1.4352537924899997  9.120106697          9.120106697          8.979351043          4.722953319          0.056                0.0                  0.0                  0.0                  0.0                  0.0                  0.0                  
-1.4181839333699995  9.078166961          9.078166961          8.919931411          4.707094669          0.062                1.0                  1.0                  0.0                  0.0                  0.0                  0.0                  
-1.3837343217799984  9.112044334          9.112044334          8.962027549          4.705920219          0.069                0.0                  0.0                  1.0                  1.0                  0.0                  0.0                  
-1.3868939475        9.12527275           9.12527275           8.95149517           4.713934898          0.074                0.0                  0.0                  0.0                  0.0                  1.0                  1.0                  
-1.349016779239998   9.140267372          9.140267372          9.006916046          4.743627071          0.074                0.0                  0.0                  0.0                  0.0                  0.0                  0.0                  
-1.3920732929499986  9.099702835          9.099702835          8.930109024          4.726502418          0.071                1.0                  1.0                  0.0                  0.0                  0.0                  0.0                  
-1.43200441546       9.130421638          9.130421638          8.958108901          4.72880268           0.064                0.0                  0.0                  1.0                  1.0                  0.0                  0.0                  
-1.4534879956899982  9.139965057          9.139965057          8.961501121          4.73698759           0.061                0.0                  0.0                  0.0                  0.0                  1.0                  1.0                  
-1.3990604232500001  9.145095825          9.145095825          9.049351692          4.763625621          0.055                0.0                  0.0                  0.0                  0.0                  0.0                  0.0                  
